date,host_gender,intro_female_mentions,intro_male_mentions,intro_female_stars,intro_male_stars,intro_both_stars,number_of_guests,g1_gender,g1_location,g1_topic,g1_time,g1_role,g1_questions,g1_interruptions,g2_gender,g2_location,g2_topic,g2_time,g2_role,g2_questions,g2_interruptions,g3_gender,g3_location,g3_topic,g3_time,g3_role,g3_questions,g3_interruptions,g4_gender,g4_location,g4_topic,g4_time,g4_role,g4_questions,g4_interruptions,g5_gender,g5_location,g5_topic,g5_time,g5_role,g5_questions,g5_interruptions,g6_gender,g6_location,g6_topic,g6_time,g6_role,g6_questions,g6_interruptions,number_of_reports,r1_author,r1_guests,r1_guests_women,r1_randos,r1_randos_women,r2_author,r2_guests,r2_guests_women,r2_randos,r2_randos_women,r3_author,r3_guests,r3_guests_women,r3_randos,r3_randos_women,r4_author,r4_guests,r4_guests_women,r4_randos,r4_randos_women,r5_author,r5_guests,r5_guests_women,r5_randos,r5_randos_women,r6_author,r6_guests,r6_guests_women,r6_randos,r6_randos_women,r7_author,r7_guests,r7_guests_women,r7_randos,r7_randos_women,r8_author,r8_guests,r8_guests_women,r8_randos,r8_randos_women,number_of_reports_with_mostly_one_person,r1_main_gender,r1_topic,r2_main_gender,r2_topic,r3_main_gender,r3_topic,r4_main_gender,r4_topic,r5_main_gender,r5_topic,r6_main_gender,r6_topic,r7_main_gender,r7_topic,r8_main_gender,r8_topic,number_of_corresponder_reports,cr1_gender,cr1_number_of_people,cr1_number_of_women,cr2_gender,cr2_number_of_people,cr2_number_of_women,cr3_gender,cr3_number_of_people,cr3_number_of_women,cr4_gender,cr4_number_of_people,cr4_number_of_women,cr5_gender,cr5_number_of_people,cr5_number_of_women
6/29/2020,ženska,0.00,2.00,0.00,2.00,0.00,4.00,moški,internet,zdravje,2:44,strokovnjak,5,0,moški,internet,okolje,3:15,nosilec funkcije,4,0,moški,internet,zdravje,4:46,strokovnjak,5,0,moški,internet,zdravje,3:39,strokovnjak,3,0,,,,,,,,,,,,,,,3,moški,6,1,0,0,moški,3,1,1,0,ženska,1,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,okolje,,zdravje,,zdravje,,,,,,,,,,,1,moški,1,0,,,,,,,,,,,,
6/30/2020,ženska,0.00,6.00,0.00,4.00,0.00,4.00,moški,internet,politika,8:17,nosilec funkcije,8,1,moški,internet,politika,3:40,analitik/komentator,2,0,moški,internet,politika,4:12,analitik/komentator,2,0,moški,internet,zdravje,3:55,strokovnjak,5,0,,,,,,,,,,,,,,,5,ženska,2,0,6,1,ženska,6,3,3,0,ženska,1,1,3,0,moški,1,0,2,2,ženska,2,1,1,0,,,,,,,,,,,,,,,,2,moški,politika,moški,politika,,zdravje,,zdravje,,ekonomija,,,,,,,0,,,,,,,,,,,,,,,
7/1/2020,ženska,0.00,3.00,0.00,3.00,0.00,3.00,moški,studio,politika,1:55,nosilec funkcije,9,0,moški,studio,politika,2:30,nosilec funkcije,4,0,moški,internet,kultura,3:40,strokovnjak,5,0,,,,,,,,,,,,,,,,,,,,,,4,moški,3,0,3,0,ženska,0,0,4,1,moški,1,0,3,0,ženska,2,1,2,0,,,,,,,,,,,,,,,,,,,,,1,moški,politika,,zdravje,,zdravje,,kultura,,,,,,,,,1,moški,1,0,,,,,,,,,,,,
7/2/2020,ženska,0.00,4.00,0.00,1.00,0.00,3.00,moški,internet,zdravje,7:27,nosilec funkcije,10,0,moški,internet,politika,6:08,strokovnjak,4,0,moški,internet,ekonomija,3:48,nosilec funkcije,4,0,,,,,,,,,,,,,,,,,,,,,,5,ženska,4,1,2,0,moški,0,0,2,1,ženska,5,1,3,0,ženska,3,0,1,0,ženska,4,4,0,0,,,,,,,,,,,,,,,,2,,zdravje,moški,zdravje,moški,politika,,ekonomija,,kultura,,,,,,,0,,,,,,,,,,,,,,,
7/3/2020,ženska,0.00,1.00,0.00,0.00,0.00,3.00,moški,internet,zdravje,5:05,nosilec funkcije,4,0,ženska,internet,okolje,4:16,strokovnjak,6,4,moški,internet,okolje,4:24,nosilec funkcije,4,1,,,,,,,,,,,,,,,,,,,,,,4,moški,3,0,2,0,ženska,7,4,1,0,moški,1,1,2,0,moški,4,2,4,1,,,,,,,,,,,,,,,,,,,,,0,,zdravje,,politika,,okolje,,kultura,,,,,,,,,0,,,,,,,,,,,,,,,
7/6/2020,ženska,0.00,7.00,0.00,3.00,0.00,3.00,moški,internet,zdravje,2:20,nosilec funkcije,4,0,moški,internet,zdravje,6:41,nosilec funkcije,5,1,moški,studio,politika,10:30,strokovnjak,9,0,,,,,,,,,,,,,,,,,,,,,,4,ženska,4,3,1,1,ženska,1,0,5,4,ženska,3,0,4,0,moški,4,1,1,0,,,,,,,,,,,,,,,,,,,,,2,,zdravje,,zdravje,moški,politika,moški,kultura,,,,,,,,,0,,,,,,,,,,,,,,,
7/7/2020,moški,1.00,4.00,0.00,0.00,0.00,4.00,moški,studio,zdravje,3:48,strokovnjak,6,0,ženska,studio,zdravje,1:56,strokovnjak,5,0,moški,internet,zdravje,3:04,strokovnjak,3,0,moški,studio,zdravje,2:38,drugo,5,0,,,,,,,,,,,,,,,2,ženska,1,0,2,0,ženska,9,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,zdravje,,okolje,,,,,,,,,,,,,1,moški,1,0,,,,,,,,,,,,
7/8/2020,moški,0.00,4.00,0.00,0.00,0.00,1.00,moški,studio,zdravje,8:50,strokovnjak,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ženska,0,0,3,1,moški,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,zdravje,,politika,,,,,,,,,,,,,3,moški,1,0,moški,3,0,ženska,3,2,,,,,,
7/9/2020,moški,3.00,2.00,0.00,0.00,0.00,3.00,ženska,studio,politika,7:04,nosilec funkcije,7,0,ženska,studio,kultura,6:34,strokovnjak,5,0,ženska,studio,kultura,6:31,strokovnjak,4,0,,,,,,,,,,,,,,,,,,,,,,3,ženska,0,0,3,1,moški,1,0,0,0,ženska,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,politika,,ekonomija,,kultura,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/2020,ženska,2.00,3.00,0.00,1.00,0.00,2.00,moški,studio,politika,16:37,nosilec funkcije,14,0,ženska,internet,politika,5:18,nosilec funkcije,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,moški,6,1,0,0,moški,0,0,1,0,ženska,3,2,1,0,ženska,0,0,1,0,,,,,,,,,,,,,,,,,,,,,1,,zdravje,,ekonomija,ženska,politika,,kultura,,,,,,,,,,,,,,,,,,,,,,,,
